"date","Total residential address count","Active and Vacant residential address count","Active residential address count"
2012-03-01,49673296,44058840,41624939
2012-06-01,49765523,44110068,41642067
2012-09-01,49874051,44146451,41579095
2012-12-01,49942346,44197425,41623899
2013-03-01,50016785,44233873,41678935
2013-06-01,50107352,44295608,41756331
2013-09-01,50218405,44353161,41790416
2013-12-01,50307987,44419982,41944891
2014-03-01,50373289,44473281,42028774
2014-06-01,50502763,44541082,42142093
2014-09-01,51226111,44616688,42219856
2014-12-01,51349130,44679835,42233533
2015-03-01,51435051,44735176,42301982
2015-06-01,51527684,44805124,42571065
2015-09-01,51636458,44875979,42776462
2015-12-01,51715679,44936937,42894378
2016-03-01,51809441,44971735,42924162
2016-06-01,51910647,45038158,42976686
2016-09-01,52019270,45130305,43049958
2016-12-01,52123299,45199302,43105970
2017-03-01,52226638,45262752,43152320
2017-06-01,52339497,45322441,43226317
2017-09-01,48887985,45391805,43308495
2017-12-01,52553785,45450736,43372341
2018-03-01,52643427,45495948,43400066
2018-06-01,52750112,45573419,43474786
2018-09-01,52899527,45676444,43581020
2018-12-01,53019549,45737298,43639273
2019-03-01,53139335,45814168,43693138
2019-06-01,53292371,45888058,43779328
2019-09-01,53437857,45988908,43880099
2019-12-01,53570425,46068528,43955048
2020-03-01,53690114,46142394,44007332
2020-06-01,53807144,46217298,44044061
2020-09-01,53967222,46266268,44190456
2020-12-01,54105017,46347850,44302870
2021-03-01,54248429,46438024,44418969
2021-06-01,54399988,46517138,44555922
2021-09-01,54681483,46622250,44686634
2021-12-01,54835142,46707213,44737247
2022-03-01,54981364,46785968,44864520
2022-06-01,55172090,46913853,45013851
2022-09-01,55351718,47055465,45169037
2022-12-01,55507544,47155547,45259560
2023-03-01,55709615,47231245,45326234
2023-06-01,55750888,47320240,45418362
2023-09-01,55789826,47405175,45501357
2023-12-01,55906806,47496884,45586339
2024-03-01,56080857,47651150,45738387
2024-06-01,56111286,47750788,45840483
2024-09-01,56580509,47997007,46077819
2024-12-01,56615618,48077866,46148827
