"date","Total residential address count","Active and Vacant residential address count","Active residential address count"
2012-03-01,126922512,113423515,109350854
2012-06-01,127202054,113616829,109489580
2012-09-01,127479278,113747931,109430587
2012-12-01,127706441,113955220,109645746
2013-03-01,127945077,114148399,109864578
2013-06-01,128245669,114409003,110156570
2013-09-01,128599781,114670400,110383100
2013-12-01,128892047,114921354,110812245
2014-03-01,129138461,115135243,111069876
2014-06-01,129542305,115417155,111437332
2014-09-01,131139800,115710022,111731220
2014-12-01,131521808,115944279,111881622
2015-03-01,131828925,116173690,112118395
2015-06-01,132161361,116475387,112790997
2015-09-01,132541991,116778882,113325653
2015-12-01,132844658,117028160,113677719
2016-03-01,133177317,117211847,113849508
2016-06-01,133532335,117489156,114126151
2016-09-01,133949359,117843902,114452487
2016-12-01,134296308,118116224,114706112
2017-03-01,134661719,118389489,114941792
2017-06-01,135047801,118662184,115253003
2017-09-01,128040539,118966603,115591141
2017-12-01,135792293,119215319,115857755
2018-03-01,136129103,119430600,116035068
2018-06-01,136526818,119782882,116393892
2018-09-01,137024136,120169612,116789911
2018-12-01,137437450,120430271,117054336
2019-03-01,137836842,120737839,117312613
2019-06-01,138291822,121058231,117657711
2019-09-01,138788100,121428584,118026150
2019-12-01,139200472,121730647,118322442
2020-03-01,139615507,122027763,118580906
2020-06-01,140025503,122303505,118775889
2020-09-01,140532276,122616840,119260440
2020-12-01,140974161,122932819,119645711
2021-03-01,141425676,123300770,120054456
2021-06-01,141901890,123655903,120529510
2021-09-01,142598354,124044070,120979413
2021-12-01,143070745,124393377,121266844
2022-03-01,143515350,124710678,121679726
2022-06-01,144054352,125105477,122130151
2022-09-01,144607147,125585216,122635328
2022-12-01,145061021,125917285,122939521
2023-03-01,145662641,126187174,123198020
2023-06-01,145774217,126523946,123553816
2023-09-01,145875104,126821753,123860634
2023-12-01,146348711,127222072,124261230
2024-03-01,146862135,127680068,124706123
2024-06-01,146947487,127979947,125009881
2024-09-01,148284671,128722055,125734602
2024-12-01,148378973,128997169,125990199
